epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
17,749.975,0.89647,0.98304,1.20364,0.6903,0.60714,0.67254,0.37749,1.45448,1.85233,2.0526,0.0018944,0.0018944,0.0018944
18,793.814,0.9013,1.00565,1.21522,0.4651,0.53571,0.48238,0.26834,1.76828,1.8422,2.35297,0.0018878,0.0018878,0.0018878
19,841.145,0.89733,0.99364,1.19538,0.5947,0.57143,0.56595,0.28862,1.49298,1.81176,2.04799,0.0018812,0.0018812,0.0018812
20,888.442,0.78994,0.88323,1.13899,0.37932,0.53571,0.49013,0.25118,1.78137,2.14032,2.38614,0.0018746,0.0018746,0.0018746
21,935.235,0.8539,0.93946,1.18853,0.88145,0.53131,0.63375,0.40358,1.37917,1.78775,1.94089,0.001868,0.001868,0.001868
22,984.059,0.8233,0.86836,1.14849,0.80932,0.60638,0.71033,0.35904,1.46895,1.91078,2.06603,0.0018614,0.0018614,0.0018614
23,1031.49,0.82047,0.8879,1.15593,0.65177,0.6018,0.63506,0.40832,1.29546,1.56888,1.91811,0.0018548,0.0018548,0.0018548
24,1079.29,0.77175,0.82454,1.12665,0.69975,0.71429,0.70923,0.43754,1.32208,1.56676,1.99288,0.0018482,0.0018482,0.0018482
25,1127.29,0.78705,0.83289,1.14726,0.76823,0.78571,0.71536,0.38695,1.61085,1.63684,2.39166,0.0018416,0.0018416,0.0018416
26,1176.38,0.76662,0.82491,1.13109,0.6812,0.61063,0.61333,0.36308,1.44414,1.75054,2.1372,0.001835,0.001835,0.001835
27,1224.38,0.74709,0.7905,1.11002,0.47495,0.75,0.62036,0.34126,1.46402,1.70273,2.17546,0.0018284,0.0018284,0.0018284
28,1274.57,0.77402,0.7677,1.12898,0.82955,0.67857,0.75458,0.48189,1.26875,1.43555,1.97708,0.0018218,0.0018218,0.0018218
29,1322.38,0.78452,0.80542,1.11932,0.81076,0.61224,0.76224,0.48574,1.37315,1.28825,2.01291,0.0018152,0.0018152,0.0018152
30,1370.9,0.74667,0.77259,1.11518,0.67168,0.64286,0.62319,0.35677,1.48149,1.82317,2.13888,0.0018086,0.0018086,0.0018086
31,1416.99,0.76238,0.76465,1.13069,0.85396,0.53571,0.71454,0.49941,1.16273,1.41083,1.79149,0.001802,0.001802,0.001802
32,1460.58,0.72203,0.75029,1.11072,0.80422,0.60714,0.63556,0.38252,1.40223,1.59649,2.07091,0.0017954,0.0017954,0.0017954
33,1506.8,0.75456,0.7215,1.10206,0.70212,0.64286,0.68594,0.47187,1.22248,1.60503,1.74293,0.0017888,0.0017888,0.0017888
34,1551.16,0.7348,0.72138,1.09228,0.46945,0.64286,0.54158,0.29813,1.34227,1.82157,1.834,0.0017822,0.0017822,0.0017822
35,1595.63,0.75318,0.73725,1.12049,0.68023,0.85714,0.76943,0.48034,1.28789,1.52145,2.09513,0.0017756,0.0017756,0.0017756
36,1638.92,0.72957,0.7706,1.11883,0.84568,0.78294,0.85819,0.54106,1.16836,1.22552,1.79036,0.001769,0.001769,0.001769
37,1683.16,0.71215,0.73001,1.09211,0.91372,0.85714,0.88108,0.53233,1.19645,1.25928,1.84908,0.0017624,0.0017624,0.0017624
38,1727.24,0.69602,0.70573,1.09044,0.70011,0.85714,0.835,0.55146,1.16875,1.1978,1.87621,0.0017558,0.0017558,0.0017558
39,1770.86,0.71813,0.70781,1.1127,0.87683,0.76305,0.84166,0.56724,1.22405,1.10091,1.84947,0.0017492,0.0017492,0.0017492
40,1814.4,0.6948,0.68251,1.07269,0.868,0.85714,0.88096,0.58234,1.09028,1.17503,1.72395,0.0017426,0.0017426,0.0017426
41,1858.63,0.66175,0.65948,1.06948,0.79914,0.78571,0.85018,0.61157,1.06379,1.30109,1.69476,0.001736,0.001736,0.001736
42,1902.88,0.70422,0.70446,1.09997,0.59487,0.64286,0.64747,0.43596,1.29916,1.35585,1.88197,0.0017294,0.0017294,0.0017294
43,1946.83,0.6904,0.67917,1.07588,0.95616,0.77924,0.88106,0.62083,1.08531,1.14976,1.70317,0.0017228,0.0017228,0.0017228
44,1991.31,0.68972,0.64057,1.0742,0.649,0.75,0.69414,0.45635,1.19514,1.52897,1.81407,0.0017162,0.0017162,0.0017162
45,2036.99,0.66624,0.64443,1.05637,0.79003,0.67214,0.76526,0.49252,1.33217,1.29395,1.9491,0.0017096,0.0017096,0.0017096
46,2081.28,0.63203,0.62759,1.05221,0.90587,0.68773,0.84113,0.56988,1.1937,1.20375,1.80145,0.001703,0.001703,0.001703
47,2125,0.64332,0.6188,1.04306,0.69969,0.75,0.79527,0.52959,1.18053,1.12662,1.89413,0.0016964,0.0016964,0.0016964
48,2172.52,0.68417,0.62548,1.06577,0.5351,0.78571,0.71871,0.41159,1.39285,1.43147,2.10665,0.0016898,0.0016898,0.0016898
49,2217.36,0.68414,0.64372,1.06487,0.79662,0.83964,0.85056,0.58351,1.1916,1.23316,1.91039,0.0016832,0.0016832,0.0016832
50,2265.19,0.58904,0.55842,1.02204,0.91242,0.85714,0.8928,0.66891,1.04696,1.07292,1.718,0.0016766,0.0016766,0.0016766
51,2311.31,0.62301,0.60066,1.04253,0.95191,0.70715,0.80971,0.57767,1.20017,1.14064,1.80486,0.00167,0.00167,0.00167
52,2356.34,0.61848,0.57858,1.03555,0.63575,0.60714,0.62901,0.41499,1.38172,1.27187,1.99117,0.0016634,0.0016634,0.0016634
53,2402.28,0.60631,0.57144,1.00983,0.69512,0.73316,0.74997,0.52418,1.25739,1.30721,1.78207,0.0016568,0.0016568,0.0016568
54,2448.83,0.62245,0.56992,1.03321,0.95607,0.7775,0.86594,0.59088,1.05139,1.07771,1.62169,0.0016502,0.0016502,0.0016502
55,2493.03,0.65265,0.59385,1.0501,0.72121,0.83174,0.84818,0.55134,1.1335,0.94643,1.72561,0.0016436,0.0016436,0.0016436
56,2538.43,0.66212,0.57272,1.05677,0.61502,0.74192,0.70608,0.49461,1.15648,1.1365,1.70091,0.001637,0.001637,0.001637
57,2583.82,0.6282,0.58175,1.04532,0.60604,0.82419,0.79533,0.58489,0.94232,1.08752,1.50612,0.0016304,0.0016304,0.0016304
58,2629.35,0.61167,0.57566,1.03757,0.69595,0.78571,0.82237,0.59506,0.98479,1.03042,1.63243,0.0016238,0.0016238,0.0016238
59,2673.22,0.60818,0.57415,1.02409,0.71043,0.71429,0.74653,0.53213,1.11642,1.09615,1.79137,0.0016172,0.0016172,0.0016172
60,2718.78,0.59876,0.58204,1.03645,0.87854,0.71429,0.80595,0.55987,1.28846,1.03691,2.06789,0.0016106,0.0016106,0.0016106
61,2764.77,0.60292,0.57951,1.03347,0.80431,0.78571,0.72964,0.37495,1.70646,1.43377,2.88229,0.001604,0.001604,0.001604
62,2810.79,0.62147,0.57535,1.03162,0.82444,0.67114,0.79475,0.52138,1.24694,1.2635,1.91299,0.0015974,0.0015974,0.0015974
63,2854.2,0.61002,0.59057,1.03469,0.75928,0.53571,0.63865,0.44638,1.40972,1.41816,2.11409,0.0015908,0.0015908,0.0015908
64,2903.24,0.63925,0.57915,1.05284,0.83758,0.64286,0.71221,0.52274,1.18719,1.20986,1.87724,0.0015842,0.0015842,0.0015842
65,2948.21,0.62272,0.57767,1.03493,0.9151,0.77027,0.86491,0.59555,1.13774,1.03419,1.83598,0.0015776,0.0015776,0.0015776
66,2994.82,0.56415,0.51312,1.01301,0.94973,0.67488,0.80223,0.55441,1.06029,1.14288,1.68144,0.001571,0.001571,0.001571
67,3039.28,0.59039,0.55413,1.03332,0.67632,0.67182,0.744,0.54086,1.06819,1.13026,1.73235,0.0015644,0.0015644,0.0015644
68,3094.07,0.59904,0.56834,1.01231,0.68373,0.82143,0.74274,0.5581,0.98722,1.13866,1.55796,0.0015578,0.0015578,0.0015578
69,3165.54,0.6082,0.56677,1.03468,0.70821,0.78571,0.78767,0.56569,1.0239,1.09037,1.58254,0.0015512,0.0015512,0.0015512
70,3236.85,0.58698,0.5471,1.01785,0.90031,0.85714,0.89129,0.66415,0.9236,0.86986,1.527,0.0015446,0.0015446,0.0015446
51,41.031,0.71149,0.83328,1.27418,0.61775,0.57737,0.5473,0.33019,1.65694,2.16201,2.74184,0.00167,0.00167,0.00167
52,80.8809,0.70773,0.68233,1.12987,0.66434,0.71429,0.60886,0.3642,1.57581,1.48304,2.45266,0.0016634,0.0016634,0.0016634
53,121.697,0.68573,0.68559,1.08687,0.73671,0.67857,0.65879,0.42419,1.41781,1.40379,2.94422,0.0016568,0.0016568,0.0016568
54,163.038,0.65458,0.68075,1.06068,0.52286,0.70465,0.59225,0.31289,1.51506,1.63645,2.45546,0.0016502,0.0016502,0.0016502
55,201.378,0.69415,0.65108,1.08542,0.73821,0.57143,0.64023,0.38544,1.40043,1.443,2.23055,0.0016436,0.0016436,0.0016436
56,239.988,0.63546,0.62242,1.05563,0.76002,0.85714,0.86551,0.57025,1.11736,1.01748,1.94375,0.001637,0.001637,0.001637
57,279.017,0.65897,0.61885,1.07586,0.84347,0.77012,0.84309,0.55849,1.12484,1.19456,1.94078,0.0016304,0.0016304,0.0016304
58,317.989,0.67651,0.64418,1.04959,0.80336,0.67857,0.73836,0.48068,1.35086,1.37986,2.19112,0.0016238,0.0016238,0.0016238
59,357.439,0.62658,0.58571,1.03582,0.81769,0.57143,0.70257,0.49497,1.18797,1.29361,1.85903,0.0016172,0.0016172,0.0016172
51,40.0787,0.71149,0.83328,1.27418,0.61775,0.57737,0.5473,0.33019,1.65694,2.16201,2.74184,0.00167,0.00167,0.00167
52,78.6828,0.70773,0.68233,1.12987,0.66434,0.71429,0.60886,0.3642,1.57581,1.48304,2.45266,0.0016634,0.0016634,0.0016634
53,119.7,0.68573,0.68559,1.08687,0.73671,0.67857,0.65879,0.42419,1.41781,1.40379,2.94422,0.0016568,0.0016568,0.0016568
54,169.227,0.65458,0.68075,1.06068,0.52286,0.70465,0.59225,0.31289,1.51506,1.63645,2.45546,0.0016502,0.0016502,0.0016502
55,206.302,0.69415,0.65108,1.08542,0.73821,0.57143,0.64023,0.38544,1.40043,1.443,2.23055,0.0016436,0.0016436,0.0016436
56,257.538,0.63546,0.62242,1.05563,0.76002,0.85714,0.86551,0.57025,1.11736,1.01748,1.94375,0.001637,0.001637,0.001637
57,311.534,0.65897,0.61885,1.07586,0.84347,0.77012,0.84309,0.55849,1.12484,1.19456,1.94078,0.0016304,0.0016304,0.0016304
58,364.023,0.67651,0.64418,1.04959,0.80336,0.67857,0.73836,0.48068,1.35086,1.37986,2.19112,0.0016238,0.0016238,0.0016238
59,418.053,0.62658,0.58571,1.03582,0.81769,0.57143,0.70257,0.49497,1.18797,1.29361,1.85903,0.0016172,0.0016172,0.0016172
60,471.914,0.64651,0.60601,1.0743,0.69459,0.78571,0.72797,0.43754,1.33794,1.21127,2.15186,0.0016106,0.0016106,0.0016106
61,528.2,0.60466,0.57382,1.0138,0.78677,0.82143,0.81005,0.51852,1.18571,1.00418,1.99461,0.001604,0.001604,0.001604
62,594.868,0.61214,0.58539,1.03277,0.96956,0.75,0.84367,0.57239,1.18527,1.09588,1.99279,0.0015974,0.0015974,0.0015974
63,654.822,0.61151,0.57815,1.04491,0.78056,0.67857,0.69951,0.50782,1.188,1.16181,1.82455,0.0015908,0.0015908,0.0015908
64,696.166,0.60537,0.54972,1.0355,0.81033,0.71429,0.78829,0.53404,1.19382,0.99024,1.84044,0.0015842,0.0015842,0.0015842
65,729.38,0.61992,0.57341,1.03708,0.75619,0.82143,0.81114,0.5714,1.04626,1.11965,1.66345,0.0015776,0.0015776,0.0015776
66,762.395,0.62147,0.56538,1.03354,0.62532,0.83469,0.74547,0.51237,1.09936,1.2497,1.70986,0.001571,0.001571,0.001571
67,795.192,0.64584,0.56694,1.03746,0.77297,0.85133,0.84255,0.53334,1.08732,1.17815,1.72627,0.0015644,0.0015644,0.0015644
68,828.246,0.61726,0.57701,1.02579,0.47331,0.83462,0.64714,0.44716,1.04338,1.20041,1.70057,0.0015578,0.0015578,0.0015578
69,861.565,0.55333,0.50739,0.99253,0.79402,0.75,0.77278,0.55509,1.19989,1.07441,1.84694,0.0015512,0.0015512,0.0015512
70,911.974,0.58743,0.55411,1.01534,0.87518,0.82143,0.83476,0.63249,0.97776,0.85178,1.63288,0.0015446,0.0015446,0.0015446
71,972.169,0.58255,0.52116,0.99987,0.8445,0.77611,0.80834,0.59699,1.04042,1.04964,1.64538,0.001538,0.001538,0.001538
72,1031.25,0.5881,0.54808,1.00134,0.78391,0.53571,0.67343,0.48114,1.24303,1.16025,1.95471,0.0015314,0.0015314,0.0015314
73,1090.38,0.55495,0.48176,0.99578,0.65692,0.60714,0.6478,0.44786,1.17859,1.28589,1.94567,0.0015248,0.0015248,0.0015248
74,1147.25,0.58152,0.50313,1.01483,0.79392,0.82143,0.88992,0.66178,0.86871,0.84225,1.57933,0.0015182,0.0015182,0.0015182
75,1192.6,0.55014,0.52392,1.00617,0.87133,0.78571,0.84321,0.56838,1.05218,0.98939,1.72438,0.0015116,0.0015116,0.0015116
51,35.9513,0.71149,0.83328,1.27418,0.61775,0.57737,0.5473,0.33019,1.65694,2.16201,2.74184,0.00167,0.00167,0.00167
52,34.5592,0.65313,0.68152,2.58723,0.49385,0.35714,0.3917,0.2319,1.79096,2.46452,3.85828,0.0016634,0.0016634,0.0016634
53,33.9129,0.62435,0.62554,1.30166,0.64084,0.39286,0.41343,0.25073,1.61796,2.14127,2.61311,0.0016568,0.0016568,0.0016568
54,67.9372,0.70686,0.6396,1.29029,0.4515,0.67623,0.51827,0.33662,1.2831,1.50299,2.16542,0.0016502,0.0016502,0.0016502
55,100.943,0.70271,0.66934,1.19152,0.67404,0.71429,0.6439,0.40718,1.34804,1.26054,2.46739,0.0016436,0.0016436,0.0016436
56,134.74,0.67853,0.63719,1.16971,0.68087,0.64286,0.55563,0.3393,1.66176,1.38044,2.62181,0.001637,0.001637,0.001637
57,169.039,0.71919,0.65461,1.12309,0.69349,0.80831,0.76302,0.4813,1.29226,1.35256,2.1897,0.0016304,0.0016304,0.0016304
58,203.597,0.64612,0.61102,1.085,0.55163,0.65937,0.61686,0.30554,1.65104,1.6129,2.22493,0.0016238,0.0016238,0.0016238
59,238.017,0.66396,0.61323,1.08159,0.60997,0.89286,0.76481,0.406,1.51812,1.37379,2.41609,0.0016172,0.0016172,0.0016172
60,272.823,0.74972,0.66128,1.28051,0.43984,0.72931,0.51176,0.23184,1.67865,1.6558,7.96119,0.0016106,0.0016106,0.0016106
61,306.613,0.718,0.65395,1.13576,0.81229,0.77304,0.79934,0.49213,1.20396,1.15046,1.85317,0.001604,0.001604,0.001604
62,340.146,0.66843,0.62174,1.10712,0.66425,0.70678,0.69283,0.45659,1.34688,1.20861,18.7583,0.0015974,0.0015974,0.0015974
63,373.769,0.64031,0.5849,1.02652,0.74861,0.78571,0.7901,0.56029,1.15797,1.02279,64.4974,0.0015908,0.0015908,0.0015908
64,407.713,0.64019,0.59723,1.04808,0.77313,0.85714,0.85911,0.54021,1.29642,1.23617,94.526,0.0015842,0.0015842,0.0015842
65,440.934,0.62285,0.59679,1.0473,0.64276,0.82143,0.7535,0.54051,1.2423,1.03777,3.41429,0.0015776,0.0015776,0.0015776
66,474.816,0.61522,0.57993,1.03741,0.72364,0.65493,0.7114,0.52491,1.08001,1.12142,1.71938,0.001571,0.001571,0.001571
67,527.92,0.62604,0.56085,1.04135,0.8932,0.64286,0.77398,0.56399,1.00364,1.17864,1.66475,0.0015644,0.0015644,0.0015644
68,575.877,0.63594,0.58033,1.0475,0.94862,0.65987,0.80124,0.56961,1.02725,1.08299,1.86639,0.0015578,0.0015578,0.0015578
69,610.041,0.63559,0.55474,1.0443,0.70651,0.77404,0.74481,0.49213,1.26073,1.0621,2.02555,0.0015512,0.0015512,0.0015512
70,644.055,0.64427,0.57468,1.09129,0.82478,0.85714,0.88959,0.54648,1.21551,1.2087,2.00742,0.0015446,0.0015446,0.0015446
71,677.621,0.59856,0.54865,1.01693,0.61835,0.67857,0.67735,0.39125,1.34363,1.27002,2.07089,0.001538,0.001538,0.001538
72,711.742,0.62003,0.55091,1.02418,0.70252,0.85714,0.81146,0.58075,1.0134,1.02536,1.60224,0.0015314,0.0015314,0.0015314
73,746.274,0.58173,0.50837,0.99286,0.86766,0.78571,0.86679,0.59666,1.1035,0.96959,1.72715,0.0015248,0.0015248,0.0015248
74,780.003,0.61234,0.55114,1.01741,0.79018,0.78571,0.7994,0.53527,1.24667,1.10888,1.90474,0.0015182,0.0015182,0.0015182
75,814.499,0.58224,0.49506,1.01339,0.8242,0.75,0.77767,0.49879,1.25271,1.06909,1.88053,0.0015116,0.0015116,0.0015116
76,849.637,0.59501,0.49929,1.01826,0.80119,0.71429,0.77796,0.5368,1.18054,0.99963,1.72733,0.001505,0.001505,0.001505
77,884.991,0.56553,0.50715,1.0066,0.79437,0.69017,0.79647,0.55181,1.13393,0.95734,1.89892,0.0014984,0.0014984,0.0014984
78,922.073,0.60545,0.51643,1.0197,0.85058,0.71429,0.78902,0.5721,1.16171,1.13405,1.86621,0.0014918,0.0014918,0.0014918
79,982.101,0.603,0.52426,1.02387,0.84871,0.60714,0.73966,0.43938,1.27909,1.27421,2.07836,0.0014852,0.0014852,0.0014852
80,1042.18,0.60746,0.53177,1.01067,0.62881,0.75,0.69801,0.50657,1.11989,1.22584,1.80264,0.0014786,0.0014786,0.0014786
81,1102.9,0.57761,0.51908,1.01636,0.83039,0.82143,0.87252,0.66266,0.95063,0.99077,1.74821,0.001472,0.001472,0.001472
82,1160.42,0.57259,0.49615,0.99771,0.79291,0.8205,0.78528,0.53489,1.32073,1.02396,3.10008,0.0014654,0.0014654,0.0014654
83,1197.69,0.53946,0.48428,1.00172,0.79796,0.78571,0.78855,0.60873,1.12324,0.90759,1.99708,0.0014588,0.0014588,0.0014588
84,1232.43,0.58105,0.49123,1.01953,0.68479,0.75,0.74353,0.49685,1.23882,0.91679,2.0341,0.0014522,0.0014522,0.0014522
85,1266.8,0.554,0.48414,0.99093,0.81927,0.75,0.77555,0.53455,1.20842,1.00666,2.0895,0.0014456,0.0014456,0.0014456
86,1299.75,0.54346,0.46979,1.0066,0.84425,0.77468,0.72423,0.51963,1.17309,0.91508,1.9742,0.001439,0.001439,0.001439
87,1332.6,0.55858,0.52498,1.00237,0.67385,0.81188,0.7018,0.4164,1.50965,1.12904,2.40679,0.0014324,0.0014324,0.0014324
88,1365.81,0.53362,0.48548,0.97735,0.74364,0.78571,0.81078,0.47563,1.24906,1.15016,2.00712,0.0014258,0.0014258,0.0014258
89,1399.13,0.51771,0.46164,0.98545,0.79533,0.75,0.81023,0.56163,1.1109,0.94608,2.20536,0.0014192,0.0014192,0.0014192
90,1433.4,0.55408,0.47415,1.03081,0.86131,0.64286,0.7486,0.49337,1.31804,1.06631,26.2129,0.0014126,0.0014126,0.0014126
91,1468.21,0.54818,0.47717,0.98229,0.7906,0.80934,0.78772,0.54407,1.06332,0.94702,2.57629,0.001406,0.001406,0.001406
92,1502.44,0.53594,0.4585,0.98668,0.75271,0.75,0.69884,0.51934,1.02441,0.94847,1.75105,0.0013994,0.0013994,0.0013994
93,1536.04,0.56377,0.47328,1.0037,0.68072,0.78571,0.80441,0.56523,0.94129,1.01776,1.51299,0.0013928,0.0013928,0.0013928
94,1569.97,0.53975,0.48835,0.98997,0.62478,0.71429,0.71145,0.50722,1.04217,1.17482,1.58265,0.0013862,0.0013862,0.0013862
95,1603.66,0.54349,0.47111,0.98027,0.69717,0.75,0.70226,0.45022,1.15024,1.27232,1.85027,0.0013796,0.0013796,0.0013796
96,1636.95,0.5171,0.45574,0.96919,0.71158,0.78571,0.81737,0.55142,1.06979,1.07737,1.88523,0.001373,0.001373,0.001373
97,1670.25,0.526,0.46427,0.98544,0.8415,0.89286,0.84709,0.60728,1.1763,0.97726,1.98616,0.0013664,0.0013664,0.0013664
98,1704.31,0.51222,0.44774,0.96466,0.83211,0.75,0.78538,0.57498,1.05988,0.90353,1.67227,0.0013598,0.0013598,0.0013598
99,1737.95,0.54043,0.45135,0.98838,0.87464,0.67857,0.76549,0.51146,1.15555,0.98157,1.74542,0.0013532,0.0013532,0.0013532
100,1772.16,0.52996,0.44401,0.9745,0.64583,0.71429,0.62238,0.40656,1.35269,1.26945,2.03577,0.0013466,0.0013466,0.0013466
101,1805.64,0.48084,0.4077,0.95846,0.67451,0.82143,0.81825,0.52737,1.16866,1.15443,2.20616,0.00134,0.00134,0.00134
102,1839.2,0.52655,0.44941,1.00022,0.92626,0.92857,0.91693,0.59403,1.13954,1.03793,2.01372,0.0013334,0.0013334,0.0013334
103,145.212,0.48962,0.48857,1.1322,0.8924,0.64286,0.70461,0.45605,1.28065,1.37443,2.27663,0.0013268,0.0013268,0.0013268
104,287.782,0.51849,0.43446,1.02377,0.81506,0.75,0.73871,0.43995,1.30768,1.2308,2.02214,0.0013202,0.0013202,0.0013202
105,429.753,0.54809,0.48238,1.02946,0.7977,0.71429,0.75064,0.51765,1.07533,1.01664,1.70433,0.0013136,0.0013136,0.0013136
106,172.897,0.49521,0.44983,1.03978,0.7845,0.67857,0.70679,0.49411,1.11034,1.14534,1.70352,0.001307,0.001307,0.001307
107,318.139,0.4807,0.41406,1.02334,0.70069,0.75,0.8089,0.55125,1.10731,1.16939,1.726,0.0013004,0.0013004,0.0013004
108,482.262,0.49876,0.45494,1.01487,0.74558,0.83756,0.82601,0.56161,1.00259,1.01927,1.62139,0.0012938,0.0012938,0.0012938
109,673.566,0.52413,0.46981,1.04527,0.74063,0.89286,0.86174,0.63624,0.87126,0.89137,1.46024,0.0012872,0.0012872,0.0012872
110,843.487,0.55039,0.48423,1.03395,0.79686,0.75,0.83421,0.59115,0.92814,1.18988,1.61546,0.0012806,0.0012806,0.0012806
111,1034.5,0.49995,0.44184,1.00063,0.86806,0.75,0.75661,0.58042,1.01411,1.12675,1.86731,0.001274,0.001274,0.001274
112,1225.92,0.50704,0.44214,1.01133,0.8391,0.78571,0.84983,0.561,1.14564,1.09661,1.81065,0.0012674,0.0012674,0.0012674
113,1410.17,0.52797,0.44718,0.97863,0.80366,0.89286,0.87539,0.63538,0.91169,0.83867,1.65498,0.0012608,0.0012608,0.0012608
114,1596.99,0.51245,0.43824,1.00698,0.77498,0.71429,0.76647,0.52547,1.22807,1.07097,1.8375,0.0012542,0.0012542,0.0012542
115,1764.47,0.5092,0.41717,1.00665,0.85767,0.78571,0.85569,0.57556,1.10811,0.90423,1.72971,0.0012476,0.0012476,0.0012476
116,1928.16,0.49583,0.42272,0.96341,0.93908,0.82143,0.92212,0.6812,0.90924,0.68789,1.51117,0.001241,0.001241,0.001241
117,2088.5,0.4842,0.41428,0.96606,0.81594,0.82143,0.87513,0.6918,0.82601,0.76952,1.47618,0.0012344,0.0012344,0.0012344
118,2235.27,0.49032,0.42297,0.97997,0.87699,0.76419,0.87519,0.63914,0.94461,0.82251,14.1281,0.0012278,0.0012278,0.0012278
119,2384.18,0.49433,0.42543,0.97368,0.73703,0.75,0.75381,0.56665,1.08652,1.01467,69.3809,0.0012212,0.0012212,0.0012212
120,2542.92,0.47524,0.3996,0.96367,0.81395,0.71429,0.81106,0.55428,1.00754,0.95609,14.1732,0.0012146,0.0012146,0.0012146
121,2687.44,0.49325,0.40958,0.97598,0.88198,0.78571,0.89595,0.61653,1.00631,0.96215,1.59501,0.001208,0.001208,0.001208
122,2837.67,0.49635,0.4157,0.97955,0.72015,0.78571,0.79172,0.56751,1.17236,1.05729,1.68612,0.0012014,0.0012014,0.0012014
123,2981.17,0.49151,0.41515,0.9661,0.81163,0.78571,0.83137,0.56839,1.05139,1.0452,1.6119,0.0011948,0.0011948,0.0011948
124,3125.57,0.45661,0.39613,0.95181,0.88042,0.78897,0.85893,0.6327,1.03204,0.96038,1.6296,0.0011882,0.0011882,0.0011882
125,3272.71,0.47644,0.39876,0.95881,0.8486,0.82143,0.8428,0.62162,0.94773,0.91508,1.55842,0.0011816,0.0011816,0.0011816
126,3417.68,0.46328,0.37914,0.94447,0.7496,0.74845,0.79036,0.61482,0.94983,0.93334,7.21707,0.001175,0.001175,0.001175
127,142.694,0.46867,0.41523,0.94119,0.76584,0.81778,0.82592,0.57963,1.02191,1.39982,16.8572,0.0011684,0.0011684,0.0011684
128,283.524,0.47782,0.38838,0.96582,0.72356,0.8416,0.81573,0.58557,1.10809,1.18278,7.24283,0.0011618,0.0011618,0.0011618
129,425.625,0.48979,0.41047,0.95677,0.79462,0.82143,0.81416,0.5643,1.15071,1.0391,7.10132,0.0011552,0.0011552,0.0011552
130,567.868,0.47259,0.39523,0.95742,0.74555,0.78571,0.77719,0.52658,1.15861,1.07193,6.14624,0.0011486,0.0011486,0.0011486
131,704.583,0.47654,0.39895,0.95552,0.85597,0.71429,0.7548,0.55021,0.94613,0.98729,1.6463,0.001142,0.001142,0.001142
132,845.871,0.43803,0.3687,0.93755,0.81906,0.80862,0.7826,0.57524,1.01329,0.97961,3.97541,0.0011354,0.0011354,0.0011354
